titleEN;titleCZ;KeywordsEN;KeywordsCZ;AbstractEN;AbstractCZ;Supervisor
Generative artificial intelligence and the issue of disinformation;Generativní umělá inteligence a problematika dezinformací;generative artificial intelligence, artificial intelligence, AI, deepfake, disinformation, ChatGPT;AI, deepfake, dezinformace, generativní umělá inteligence, ChatGPT, umělá inteligence;This bachelor&amp,apos,s thesis examines artificial intelligence (AI) and its impact on the spread and detection of disinformation. Currently, this issue is a highly discussed topic that directly and indirectly affects us all. The thesis explores artificial intelligence itself, with an emphasis on generative artificial intelligence. Additionally, it focuses on the topic of disinformation, explaining the mechanisms of its spread, its impact on society, and ultimately the fight against it. In the conclusion of the theoretical part, these two topics are combined, highlighting the dual role of AI, which can be used both for production and identification of disinformation. Besides providing a summary overview of this issue, the thesis&amp,apos,s merit lies in the implementation of a questionnaire survey and demonstration of the use of ChatGPT for evaluating news articles. In a specialized environment, a custom GPT was created, which shows promising results in evaluating individual articles with regard to present disinformation features. However, several issues arose during its development, which partially limit this GPT&amp,apos,s abilities. This thesis concludes by presenting the results of a questionnaire survey, revealing how people perceive AI and their ability to recognize content created by artificial intelligence.;Tato bakalářská práce zkoumá umělou inteligenci (AI) a její vliv na šíření a detekci dezinformací. V dnešní době je tato problematika vysoce diskutovaným tématem, které má přímý i nepřímý vliv na nás všechny. V práci je prozkoumána umělá inteligence jako taková, se zvláštním důrazem na generativní umělou inteligenci. Dále se práce zaměřuje na problematiku dezinformací, u nichž jsou vysvětleny mechanismy jejich šíření, jejich vliv na společnost, a nakonec boj proti nim. Závěrem teoretické části se tato dvě témata zkombinují a poukáže se na dvojí roli AI, která může být využita jak k produkci, tak k identifikaci dezinformací. Přínos práce kromě sestavení souhrnného přehledu této problematiky spočívá ve vypracování dotazníkového šetření a v demonstraci praktického využití ChatGPT ke zhodnocení zpravodajských článků. Ve specializovaném prostředí bylo vytvořeno vlastní GPT, které vykazuje slibné výsledky v hodnocení jednotlivých článků s ohledem na přítomné dezinformační rysy. Při tvorbě nástroje se však vyskytlo několik problémů, kvůli nimž je toto GPT částečně limitované ve svých schopnostech. V závěru práce jsou prezentovány výsledky dotazníkového šetření, které odhalují, jak lidé vnímají AI a jaká je jejich schopnost rozpoznat tvorbu umělé inteligence.;Chudán, David
Mobile Application for Self-Assessment of Teacher Student Competencies: Test Automation;Mobilní aplikace pro sebehodnocení kompetencí studentů učitelství: Automatizace testování;mobile application, appium, test automation, robot framework;automatizované testování, mobilní aplikace, robot framework, appium;This bachelor thesis focuses on the design and implementation of a set of automated tests for the SeK mobile application, utilizing Robot Framework and Appium technologies. The main goal of the thesis is not only to support the testing process and improve the quality of the application but also to prepare the complete infrastructure necessary for effective automated testing. This includes the entire chain of activities from setting up the devices on which the tests will be performed to the selection of appropriate technologies, and the analysis and evaluation of the results obtained. In the theoretical part, readers are provided with an introduction to the field of automated testing, where definitions, types of tests, and basic principles are presented. Subsequently, the main reasons for implementing automated tests are explained. This part continues by introducing the domain area of the SeK application, which focuses on formative assessment and student self-assessment. The practical part of this thesis is divided into seven chapters, documenting the entire process in detail, from the initial design to the final implementation of the executable automated test suite. Each chapter systematically documents the steps that led to the successful completion of the main objective of the thesis. It introduces the methods and procedures that were applied during the development process. At the end of the thesis, the test suite is evaluated to ensure its quality assurance.;Tato bakalářská práce se zaměřuje na vytvoření a implementaci sady automatizovaných testů pro mobilní aplikaci SeK, s využitím technologií Robot Framework a Appium. Hlavním cílem práce není pouze podpora procesu testování a zlepšení kvality aplikace, ale také příprava kompletní infrastruktury nezbytné pro efektivní automatizované testování. To zahrnuje celý řetězec aktivit od nastavení zařízení, na kterých budou testy prováděny, přes výběr vhodných technologií, až po analýzu a vyhodnocení získaných výsledků. V teoretické části je čtenářům nabídnut úvod do oblasti automatizovaného testování, kde jsou představeny definice, typy testů a základní principy. Následně jsou vysvětleny hlavní důvody pro zavádění automatizovaných testů. Teoretická část dále pokračuje představením doménové oblast testované aplikace SeK, která se soustředí na formativní hodnocení a sebehodnocení studentů. Praktická část této práce je rozdělena do sedmi kapitol, v nichž je podrobně zdokumentován celý proces od počátečního návrhu až po finální realizaci spustitelné sady automatizovaných testů. Každá kapitola postupně dokumentuje kroky, které vedly k úspěšnému dokončení hlavního cíle práce. Jsou zde představeny metody a postupy, které byly během vývoje uplatněny. Na konci práce je sada testů vyhodnocena, což zajišťuje ověření její kvality.;Doležel, Michal
Mobile Application for Self-Assessment of Teacher Student Competencies: Business analysis and UX design;Mobilní aplikace pro sebehodnocení kompetencí studentů učitelství: Byznys analýza a UX design;UX design, UI design, Graphical user interface design, Business analysis, Mobile application, Formative assessment, Self-assessment, Professional development, Self-development, Teaching;Mobilní aplikace, Formativní hodnocení, Sebehodnocení, UX design, UI design, Návrh uživatelského rozhraní, Byznys analýza, Profesní rozvoj, Seberozvoj, Učitelství;The bachelor thesis concerns the user experience design of a mobile application used for the professional development of student teachers. The objective is to analyse the user requirements and to design the user interface of a mobile application for self-assessment of students at the Faculty of Education at Masaryk University in Brno. The theoretical framework introduces the definition of user interface and user experience, and the key principles for their design. It also discusses user experience design specifics for self-development applications. Furthermore, it introduces the concept of formative assessment and its part in self-evaluation, describing their role and form of use at the Faculty of Education at Masaryk University. At the beginning of application requirements analysis, the vision, expected format and specific needs of the principals were analysed. The results were then further elaborated into smaller, unambiguous units, which were formulated into user stories with research among students. User stories were then established as the scope for the user interface design. A simplified form of research was conducted among students using an in-depth interview method. The outcomes of this research supported the purpose of the application, its potential benefits and contributed to the specification of its requirements. The user interface design was constructed according to the fundamental principles and standards of usability and in alignment with the visual style of Masaryk University. The design transformed the specified requirements into a tool for student self-reflection and professional development. The design was subsequently handed over for further development, resulting in the creation of an application for self-assessing the competence of student teachers based on the initial design. The creation of the aforementioned mobile application has the potential to enhance the quality of education provided at the Faculty of Education of Masaryk University, or other educational institutions.;Bakalářská práce se zabývá návrhem uživatelského rozhraní mobilní aplikace využívané pro profesní rozvoj studentů učitelství. Cílem bakalářské práce je analyzovat uživatelské požadavky a navrhnout uživatelské rozhraní mobilní aplikace pro sebehodnocení studentů Pedagogické fakulty Masarykovy univerzity v Brně. Teoretický rámec se zabývá vymezením pojmů uživatelského rozhraní a uživatelské zkušenosti s uvedením klíčových principů a zásad pro jejich návrh. Téma rozebírá i v kontextu jeho specifik pro seberozvojové aplikace. Dále uvádí pojem formativní hodnocení a jeho součást sebehodnocení a popisuje jejich roli a formu využití na Pedagogické fakultě Masarykovi univerzity. V rámci analýzy požadavků aplikace byl proveden rozbor vize, očekávaného formátu a konkrétních potřeb zadavatelů, zněhož byly výsledky dále zpracovány do menších jednoznačných celků a ty byly, za podpory výzkumu mezi studenty, formulovány do podoby user stories, z jejichž stanoveného rozsahu vychází návrh uživatelského rozhraní. Výzkum mezi studenty probíhal ve zjednodušené formě pomocí metody hloubkových rozhovorů a jeho výsledky podpořily smysl vzniku aplikace, její možný přínos a přispěly ke specifikaci jejích požadavků. Návrh uživatelského rozhraní byl vytvořen za pomocí klíčových principů a zásad dobré použitelnosti a dodržení vizuálního stylu Masarykovy univerzity. Transformoval zadané požadavky na nástroj pro zaznamenávání sebereflexe a profesního rozvoje studenta. Návrh byl předán do vývoje a na jeho základě byla vytvořena aplikace pro sebehodnocení kompetencí studentů učitelství. Výsledek vytvoření dané mobilní aplikace má potenciál zasadit se o změnu a zvýšení kvality výuky studia učitelství na Pedagogické fakultě Masarykovy univerzity, případně dalších vzdělávacích institucí.;Doležel, Michal
Mobile Application for Self-Assessment of Teacher Student Competencies: A mobile application for student teacher competency self-assessment: API and Database Design and Implementation;Mobilní aplikace pro sebehodnocení kompetencí studentů učitelství: Návrh a implementace API a databáze;Mobile Application, Server-side application, CI/CD, GraphQL, NestJS, Postgres, Database, API, Javascript, Node.js, Self-Assesment, Docker;Sebehodnocení, Docker, Serverová aplikace, Postgres, Mobilní aplikace, Node.js, CI/CD, NestJS, GraphQL, Databáze, API, Javascript;The bachelor&amp,apos,s thesis is devoted to the issue of self-evaluation of student teachers. Its goal is to design and implement a server application providing an application programming interface (API) for a mobile application used for self-evaluation of teacher students at the Faculty of Pedagogy of the Masaryk University in Brno. The application was developed with the help of MMSP methodology - agile development in combination with Lean and Scrum agile methodologies. Together with the application, the database model and the automatic deployment process were designed.  In the introduction, the author introduces the key concepts that must be known when developing a server application. It further explains the concepts related to the domain part of the application and presents the standard of quality of the professional competences of the student teacher, which was behind the creation of the requirements of this application. The reader is introduced to the entire development process, from the methodology, through the selection of tools, to the design and implementation of individual parts of the solution. The author presents all the tools and technologies he used to achieve his goals and design and develop an application that provides an API. At the end of the work, the author focuses on the process of continuous deployment of the application and its maintenance and monitoring of server performance. In the final chapter, he then evaluates his own processing, points out shortcomings and shows the possibilities of how the application can be further developed.  The result of this bachelor thesis is a fully functional server application providing an API for a mobile application intended for the self-evaluation of teacher students. A robust database model has been created that is fully compatible with mobile application functionality, and a continuous deployment process has been established with an emphasis on automation, maintenance and server performance monitoring. This application facilitates the self-evaluation of teaching students at the Faculty of Pedagogy of the Masaryk University in Brno and offers a solid basis for further development and improvement of functionality.;Bakalářská práce se věnuje problematice sebehodnocení studentů pedagogiky. Jejím cílem je navrhnout a implementovat serverovou aplikaci poskytující aplikační programové rozhraní (API) pro mobilní aplikaci používanou k sebehodnocení studentů učitelství na pedagogické fakultě Masarykovy univerzity v Brně. Aplikace byla vyvíjena s pomocí metodiky MMSP - agilní vývoj v kombinaci s agilními metodikami Lean a Scrum. Společně s aplikací byl navržen i databázový model a proces automatického nasazování.  V úvodu autor představuje klíčové pojmy, které je třeba znát při vývoji serverové aplikace. Vysvětluje dále pojmy týkající se doménové části aplikace a představuje standard kvality profesních kompetencí studenta učitelství, který stál za vznikem požadávků této aplikace. Čtenář je seznámen s celým procesem vývoje od metodiky, přes výběr nástrojů až po návrh a implementaci jednotlivých částí řešení. Autor představuje všechny nástroje a technologie, které využil k dosažení cílů a návrhu a vývoji aplikace, která poskytuje API. Autor se na konci práce věnuje procesu průběžného nasazování aplikace a její údržbě a monitorování výkonu serveru. V závěrečné kapitole poté hodnotí vlastní zpracování, poukazuje na nedostatky a ukazuje možnosti jak je možné aplikaci dále rozvíjet.  Výsledkem této bakalářské práce je plně funkční serverová aplikace poskytující API pro mobilní aplikaci určenou k sebehodnocení studentů učitelství. Byl vytvořen robustní databázový model, který je plně kompatibilní s funkcemi mobilní aplikace, a zaveden proces průběžného nasazování s důrazem na automatizaci, údržbu a monitorování výkonu serveru. Tato aplikace usnadňuje sebehodnocení studentů učitelství na pedagogické fakultě Masarykovy univerzity v Brně a nabízí solidní základ pro další rozvoj a zlepšení funkcionalit.;Doležel, Michal
Survey Platforms - Comparison of Functionalities and Frequency of Use by Students of Economics;Platformy pro dotazníková šetření -- srovnání funkcionalit a četnosti využívání studenty ekonomických oborů;Research, SurveyMonkey, Data collection, Comparison of survey platforms, Qualtrics, Vyplnto, Questionnaire surveys, Google Forms, Survey platforms, Microsoft Forms;Sběr dat, Dotazníkové platformy, Google Forms, SurveyMonkey, Qualtrics, Vyplnto, Srovnání dotazníkových platforem, Dotazníkové šetření, Výzkum, Microsoft Forms;This bachelor&amp,apos,s thesis is devoted to a comparative analysis of questionnaire platforms with the main objective of identifying and assessing their specific features and usage rates among economics students. The first part of the thesis includes a detailed analysis of the functionalities of questionnaire platforms and the methodology of questionnaire construction. In the empirical part, first, an analysis of data collected from academic papers in the Czech Republic and Denmark is conducted, based on which the most commonly used questionnaire platforms by students of economics are subsequently identified. These platforms include Google Forms, SurveyMonkey, Qualtrics, Microsoft Forms and Vyplnto. These platforms, are key to the following section in which a comparative analysis is conducted. Based on the comparison of the platforms, a meta-survey is designed to reveal the preferred functionalities and platforms by the students.;Tato bakalářská práce se věnuje komparativní analýze dotazníkových platforem s hlavním cílem identifikovat a posoudit specifické funkce a míru jejich využívání mezi studenty ekonomických oborů. První část práce zahrnuje detailní rozbor funkcionalit dotazníkových platforem a metodiky konstrukce dotazníků. V empirické části je nejprve provedena analýza dat získaných z akademických prací v České republice a Dánsku, na základě kterých jsou následně identifikovány nejčastěji používané dotazníkové platformy studenty ekonomických oborů. Mezi tyto platformy patří Google Forms, SurveyMonkey, Qualtrics, Microsoft Forms a Vyplnto. Tyto platformy jsou klíčové pro následující část, ve které je provedena komparativní analýza. Na základě srovnání platforem je navrženo dotazníkové meta šetření, které odhaluje preferované funkcionality a platformy ze strany studentů.;Doležel, Michal
Comparing Large Language Models: Analysis of Functionality and Limitations;Porovnání velkých jazykových modelů: Analýza funkcionality a omezení;natural language processing, artificial intelligence, comparison of LLM performance, Czech language, large language models;zpracování přirozeného jazyka, srovnání výkonnosti LLM, český jazyk, velké jazykové modely, umělá inteligence;In recent years, the field of artificial intelligence and machine learning has evolved at an unprecedented rate, with large language models (LLM) being a key element of this development. These models have become fundamental tools in many applications from natural language processing to content generation and solving complex problems. This bachelor&amp,apos,s thesis focuses on comparing the performance of selected LLM with an emphasis on the Czech language to explore their ability to understand and generate content in this specific linguistic context. The work evaluates and compares the capabilities of models such as GPT-3.5, Claude 3 Sonnet, and others in areas that include text comprehension, grammar, mathematics, and biology. Quantitative data were obtained through standardized tests, including high school didactic tests and SCIO tests, and supplemented with qualitative analysis of the models&amp,apos, responses. Special attention is given to identifying specific errors and limitations of these models in the context of the Czech language, revealing key areas for further development and improvement. The results suggest that despite an elevated level of knowledge in domains, such as biology, LLM face significant challenges in areas requiring deeper linguistic understanding and complex logical reasoning, especially in mathematics and advanced Czech grammar. This work contributes to a better understanding of the possibilities and limitations of LLM in the Czech linguistic environment and offers valuable insights for research communities and developers of artificial intelligence. Discussions of the results and recommendations for future research emphasize the need for expanded data sets and algorithm improvements to enhance the universality and accuracy of LLM.;V posledních letech se oblast umělé inteligence a strojového učení vyvíjí nebývalou rychlostí, přičemž klíčovým prvkem tohoto vývoje jsou velké jazykové modely (LLM). Tyto modely se staly zásadními nástroji v mnoha aplikacích od zpracování přirozeného jazyka po generování obsahu a řešení komplexních problémů. Předložená bakalářská práce se zaměřuje na srovnání výkonnosti vybraných LLM s důrazem na český jazyk, aby prozkoumala jejich schopnost porozumět a generovat obsah v tomto specifickém lingvistickém kontextu. Práce hodnotí a srovnává schopnosti modelů jako GPT-3.5, Claude 3 Sonnet a další v oblastech, které zahrnují porozumění textu, gramatiku, matematiku a biologii. Kvantitativní data byla získána prostřednictvím standardizovaných testů, včetně maturitních didaktických testů a SCIO testů. Dále byla doplněna kvalitativní analýzou odpovědí modelů. Speciální pozornost je věnována identifikaci konkrétních chyb a limitací těchto modelů v kontextu českého jazyka, což odhaluje klíčové oblasti pro další vývoj a zlepšení. Výsledky naznačují, že i přes vysokou úroveň znalostí v některých doménách, jako je biologie, LLM čelí významným výzvám v oblastech vyžadujících hlubší lingvistické porozumění a komplexní logické úvahy, zejména v matematice a pokročilé gramatice češtiny. Tato práce přispívá k lepšímu porozumění možnostem a omezením LLM v českém jazykovém prostředí a nabízí cenné vhledy pro výzkumné komunity a vývojáře umělé inteligence. Diskuze o výsledcích a doporučení pro budoucí výzkum zdůrazňují potřebu rozšířených datových sad a vylepšení algoritmů pro zvýšení univerzálnosti a přesnosti LLM.;Chudán, David
Predikce poptávky po elektřině pomocí strojového učení;Power demand forecasting using Machine Learning approaches;energetická síť, lineární regrese, strojové učení, předpověď poptávky po elektřině, XGBoost, LSTM;machine learning, XGBoost, energy grid, electricity demand forecasting, linear regression, LSTM;Tato práce se zabývá aplikací různých modelů strojového učení na předpovídání poptávky po elektřině, což je klíčová součást efektivního řízení energetických zdrojů. Hlavním cílem této práce je představit modely strojového učení používané pro předpovídání poptávky po elektřině a tyto metody porovnat. Dalšími cíli podporujícími hlavní cíl jsou přispění k optimalizaci německé energetické sítě, ukázka praktického použití na reálných datech a příprava na budoucí výzkum. Tyto cíle byly naplněny s využitím literatury a zkušeností autora. K realizaci celé praktické části byl použit programovací jazyk Python. Výsledkem této práce je stručné srovnání různých modelů, jako je lineární regrese, XGBoost a long short-term memory neuronová síť.;This thesis explores the application of various machine learning models to power demand forecasting, a crucial component in the efficient management of energy resources. The main goal of this thesis is to introduce the machine learning models used for forecasting power demand and compare those methods. Additional goals supporting the main goal are contributing to the optimization of the German energy grid, demonstration of the practical application using real data, and preparation for future research. Those goals were fulfilled by using literature and the author’s experience. Python programming language was used to implement the whole practical part. The outcome of this thesis is a concise comparison of different models, such as linear regression, XGBoost and long short-term memory neural network.;Fojtík, Jan
Prediction models for e-Sport matches in League of Legends;Predikce e-sportových zápasů v League of Legends;decision tree, machine learning, regressive analysis , League of Legends, LoL, prediction models, logistic regression, random forest, esport;League of Legends, LoL, modely predikce, logistická regrese, náhodný les, rozhodovací strom, esport, strojové učení, regresivní analýza;The presented bachelor thesis aims to explore the application of predictive models based on regression analysis for the League of Legends European Championship (LEC) from the game League of Legends (LoL). Methods of comparison, observation, data analysis, and document analysis were used. Data from domains managing historical match statistics were used to create prediction models. The tool which was used to process data and create all models was the programming language Python with library extensions for data analysis. All steps were done in Jupyter environment. The first task of the thesis focuses on modeling a logistic regression with minimal accuracy of 50 %. Subsequently, two additional algorithms for decision tree and random forest are created. All models are compared with the goal of finding the best option for predicting esports matches. Metrics of accuracy, precision, recall, and F1 score are used for evaluation. The models created provide a suitable basis for future developments of more advanced solutions for neural networks and real-time predictions.;Předkládaná bakalářská práce prozkoumává aplikaci predikčních modelů založených na regresivní analýze pro ligu League of Legends European Championship (LEC) ze hry League of Legends (LoL). Jako metody byly použity metody komparace, pozorování, analýza dat a dokumentů. Pro vytvoření modelu byly použity data z domén spravující statistiky historických zápasů. Pro zpracování dat a tvorbu modelů byl použit programovací jazyk Python rozšířen o knihovny pro datovou analýzu a strojové učení v Jupyter prostředí. První část práce se zaměřuje na sestavení logistické regrese s minimální úspěšností 50 %. Následně jsou vytvořeny dva dodatečné algoritmy pro rozhodovací strom a náhodný les. Všechny modely jsou porovnány za cílem nalezení nejlepšího řešení pro predikce esportových zápasů. Ke zhodnocení jsou použity metriky úspěšnosti, přesnosti, úplnosti a F1 skóre. Vytvořené modely mají vhodný základ pro budoucí vývoje pokročilejších řešení pro neuronové sítě a predikce v reálném čase.;Rejthar, Jan
Predicting the results of esports matches;Predikce výsledků Esportových zápasů;logistic regression, esport, Counter-Strike, prediction;esport, Counter-Strike, logistická regrese, predikce;This bachelor&amp,apos,s thesis investigates predictions of esports matches using logistic regression. More specifically, in games Counter-Strike: Global Offensive and Counter-Strike 2(CS:GO, CS2). Data analysing and data processing is done with using esport databases. Logistic regression model is generated using R programming language. A method of structured interview was crucial for obtaining information about esport teams and for making predictions. A method of data analysis was used to create descriptive statistics. The prediction model was generated using the logistic regression method. The main data source for this thesis is esport database HLTV. The obtained data is then copied and analysed in Excel with using the function of descriptive statistics. The final dataset is used as input data for the code in RStudio. The code in R is made using external libraries and packages for generating graphics. After the use of statistical functions, the output is a generated logistic regression model. This estimated model is then described using relevant metrics in the field of prediction models. With the completed prediction model, the goal of this thesis has been achieved. The final logistic regression model predicts esports matches with accuracy of 66 %. It was also calculated that the variable containing the difference in world ranking of the teams has the greatest influence on the prediction. In this case, the accuracy of the logistic regression model is not sufficient to reliably estimate esports matches, even though the overall value is satisfactory.;Tato bakalářská práce se zabývá predikcí výsledků esportových zápasů s použitím logistické regrese ve hrách Counter-Strike: Global Offensive a Counter-Strike 2 (CS:GO, CS2). Součástí práce je zpracování a analýza dat z esport databází. Model logistické regrese je vytvářen v programovacím jazyce R. Metoda řízených rozhovorů byla stěžejní pro zisk informací o esport týmech a pro rozhodování při predikcích. Při práci s daty byla použita metoda analýzy dat pro vypracování popisné statistiky. Predikční model byl odhadnut použitím metody logistické regrese. Pro získání dat je v práci použita esport databáze HLTV. Získaná data jsou následně zapsána a analyzována v programu Excel s použitím funkce popisné statistiky. Vzniklý dataset je použit jako vstupní data pro práci v programu RStudio. Práce v programu RStudio je vykonána s použitím dodatečných knihoven a balíčků pro výpis grafů. Po použití statistických funkcí, je výstupem programu model logistické regrese. Odhadnutý model je dále podroben popisu s použitím relevantních metrik v oblasti predikčních modelů. S kompletním modelem pro predikce, byl cíl této práce splněn. Výsledný model logistické regrese predikuje esport zápasy s přesností 66 %. Při této predikci bylo též vypočteno, že největší vliv na predikci má proměnná obsahující rozdíl ve světovém umístění týmů. Přesnost modelu logistické regrese je v tomto případě nedostatečná pro spolehlivý odhad zápasů esport, ačkoliv je výše přesnosti uspokojivá.;Rejthar, Jan
Software support for asynchronous communication between parent and pediatrician;Softwarová podpora asynchronní komunikace mezi rodičem a pediatrem;mHealth, asynchronous communication, parent, pediatrician;pediatr, asynchronní komunikace, mHealth, rodič;This bachelor’s thesis focuses on the design of a mobile application to support asynchronous communication between parents and pediatricians. In the first part, a literature review was conducted in order to better understand the communication needs in a healthcare setting, with an emphasis on the specifics of the asynchronous approach. In the second part, a questionnaire survey among parents was organized to identify key requirements and preferred functionalities of the application. The collected data was used in the third part of the thesis to define functional and nonfunctional requirements and to create detailed use cases that addressed specific user needs. The thesis also includes a class diagram, an application architecture design that describes how to send messages using a message queue and exchange health records using standardized protocols. The thesis also includes user interface design using the design of individual screens of the mobile application.;Tato bakalářská práce se zaměřuje na návrh mobilní aplikace pro podporu asynchronní komunikace mezi rodiči a pediatry. V první části byla provedena rešerše literatury za účelem lepšího porozumění potřebám komunikace ve zdravotnickém prostředí s důrazem na specifika asynchronního přístupu. V druhé části bylo uskutečněno dotazníkové šetření mezi rodiči, které mělo za cíl identifikovat klíčové požadavky a preferované funkcionality aplikace. Získaná data byla použita ve třetí části práce pro definici funkčních a nefunkčních požadavků a vytvoření podrobně popsaných případů užití, které reagují na specifické potřeby uživatelů. Dále práce obsahuje diagram tříd, návrh architektury aplikace, ve kterém je popsán způsob odesílání zpráv pomocí message queue a výměna zdravotních záznamů pomocí standardizovaných protokolů. Součástí práce je také návrh uživatelského rozhraní pomocí designu jednotlivých obrazovek mobilní aplikace;Doležel, Michal
Use of perceptual maps to examine the relationship of macroeconomic indicators;Využití perceptuálních map ke zkoumání vztahu makroekonomických ukazatelů;Gross household savings, Government budget balance, Development of the economy in the European Union from 1995 to 2022;Hrubé úspory domácností, Saldo vládního rozpočtu, Vývoj ekonomiky v Evropské unie v letech 1995 až 2022;This work should help to answer the question to what extent household savings and the government budget balance are related and examines the validity of the relationship between the indicators. We work here with publicly available data from Eurostat from 1995 to 2022 for selected 23 countries from the European Union. A modified paired t-test is used for the analysis, with the help of which we test spatial changes in the Gaussian plane. Perceptual maps are used to visualize and describe the development of these indicators over time.;Tato práce by měla pomoci odpovědět na otázku, do jaké míry spolu souvisí úspory domácností a saldo vládního rozpočtu a zkoumá platnost vztahu mezi ukazateli. Pracujeme zde s veřejně dostupnými daty z Eurostatu z let 1995 až 2022 za vybraných 23 zemí z Evropské unie. K analýza je použit modifikovaný párový t-test pomocí, kterého testujeme prostorové změny v Gaussově rovině. K vizualizaci a popisu vývoje těchto ukazatelů v čase jsou použity perceptuální mapy.;Hindls, Richard
Using statistical methods to predict results in combat sports;Využití statistických metod pro predikci výsledků v oblasti bojových sportů;web scraping, mixed martial arts, machine learning, data analysis, Elo, predictive models, MMA, UFC;smíšená bojová umění, strojové učení, Elo, analýza dat, prediktivní modely, web scraping, MMA, UFC;The bachelor thesis deals with the use of statistical methods for the prediction of results in mixed martial arts (MMA), especially in UFC fights. The aim of the thesis was to contribute to a better understanding of the factors influencing match outcomes, to implement predictive models and thus provide useful insights into the sport. The thesis is structured in five parts, which include understanding the sport, obtaining, processing and cleaning the input data, analyzing the key variables affecting the outcomes and the way fights are finished, and implementing predictive models. The analysis examined, among other things, the physical characteristics of the fighters, their previous matches, external match conditions, and the historical development of match finishing methods. Selected machine learning models and an Elo model were created to predict match outcomes and finishing methods. This paper presents a comprehensive approach to the analysis and prediction of sporting outcomes using modern statistical techniques and python programming language libraries. The main contribution of the work is seen by the author in particular in the accuracy of the prediction of one of the models for the match finishing method.;Bakalářská práce se zabývá využitím statistických metod pro predikci výsledků ve smíšených bojových uměních (MMA), zejména v zápasech organizace UFC. Cílem práce bylo přispět k lepšímu porozumění faktorů ovlivňujících výsledky zápasů, implementovat prediktivní modely a poskytnout tak užitečné poznatky o tomto sportu. Práce je strukturována do pěti částí, které zahrnují pochopení problematiky sportu, získání, zpracování a čištění vstupních dat, analýzu klíčových proměnných ovlivňujících výsledky a způsoby ukončení zápasů a implementaci prediktivních modelů. V analýze byly zkoumány, mimo jiné, fyzické charakteristiky zápasníků, jejich předešlé zápasy, externí podmínky zápasu či historický vývoj způsobu ukončení zápasu. Pro predikci výsledků a způsobů ukončení zápasů byly vytvořeny vybrané modely strojového učení a Elo model. Práce představuje komplexní přístup k analýze a predikci sportovních výsledků pomocí moderních statistických technik a knihoven programovacího jazyka python. Hlavní přínos práce vidí autor zejména v přesnosti predikce jednoho z modelů pro způsob ukončení zápasu.;Fojtík, Jan
Analysis and Design of Information System for Companies in Orthotic-Prosthetic Sector of Healthcare;Analýza a návrh informačního systému pro společnosti v ortoticko-protetickém sektoru zdravotnictví;information system design, orthotic-prosthetic sector, BPMN, business process analysis, requirement analysis and IS limitations;návrh informačního systému, ortoticko-protetický sektor, BPMN, analýza požadavků a omezení IS, analýza business procesů;This bachelor&amp,apos,s thesis provides the foundation for design of a complex enterprise information system usable in the orthotic-prosthetic healthcare sector. It is achieved by business process analysis, extensive requirement analysis and legal research. The findings are compared with the functionality of the current application portfolio and the need for a new information system is identified. Furthermore, information system development methods and enterprise information systems are described, and available solutions on the Czech market are presented. Qualitative research methods, namely interviews and observations, were used in the thesis. To maximize the success rate of the project, the work emphasizes close cooperation between analyzed companies. Author provides a set of recommendations for the contractors and for the future development of the information system.;Tato bakalářská práce poskytuje podklad pro návrh komplexního  podnikového informačního systému využitelného v ortoticko-protetickém sektoru zdravotnictví. Tohoto dosahuje analýzou specifických business procesů, rozsáhlou analýzou požadavků a rešerší legislativních omezení. Vzniklé poznatky jsou porovnány s funkcionalitou aktuálního aplikačního portfolia a je vyhodnocena potřeba návrhu nového informačního systému. Dále jsou popsány metody vývoje informačního systému a podnikové informační systémy a předložena dostupná řešení na českém trhu. V práci byly využity kvalitativní metody výzkumu, a to rozhovory a pozorování. Pro maximalizaci úspěšnosti projektu klade práce důraz na úzkou spolupráci mezi společnostmi. Práce je zakončena sadou doporučení pro zadavatele a pro budoucí vývoj informačního systému.;Potančok, Martin
