Order,URL,TitleEN,ScienceBranchID,Authors,Abstract,Keywords
55,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00587998%21RIV25-AV0-67985556,Modeling and CFD Simulation of Macroalgae Motion within Aerated Tanks: Assessment of Light-Dark Cycle Period,20205,"Filip, R.;Masaló, I.;Papáček, Štěpán","Computational techniques can be applied to numerically assess key parameters influencing the biotechnological process to better predict the essential features governing macroalgae growth and nutrient removal in aerated tanks, e.g., integrated into multitrophic aquaculture systems. Recent advances in computational hardware and software, such as the discrete element method (DEM) coupled with computational fluid dynamics (CFDs) codes, have enabled flow simulations in biotechnological systems. Here, we perform CFD-DEM simulations of macroalgae motion within aerated tanks to assess the light–dark cycle period as one of the most critical abiotic conditions governing the growth of photosynthetic organisms. This proof-of-concept study, which deals with the challenging problem of the fluid structure interaction in aerated (bubbled) tanks with a highly flexible solid phase, includes a set of detailed 2D CFD simulations for two types of settings differing in the presence or absence of an inner cylinder assembly. Consequently, corresponding regression models for the cycle period are derived, and the initial hypothesis of the assembly’s beneficial role is confirmed. Eventually, the CFD results are verified using an image processing technique on the laboratory scale tank with Ulva sp. and specific 3D CFD-DEM simulations.",Aerated tanks;Computational fluid dynamics (CFD);Discrete element method (DEM);Fluid–structure interaction (FSI);Light–dark cycles;Macroalgae;Seaweed
56,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00600094%21RIV25-AV0-67985556,Molecularly targeted protease-activated probes for visualization of glioblastoma: a comparison with 5-ALA,30103,"Konečná, D.;Výmola, P.;Ternerová, N.;Výmolová, B.;Garcia-Borja, E.;Mateu, R.;Šroubek, Filip;Pankrác, J.;Widen, J.C.;Bogyo, M.;Netuka, D.;Bušek, P.;Šedo, A.","We proposed molecularly targeted protease-activated probes for visualization of glioblastoma.nThe aim of our study was to evaluate the ability of recently developed single- and double-substrate probes to be specifically activated in brain tumor tissue and to compare the most promising candidate with the most commonly used agent, 5-ALA.",fluorescence-guided surgery;glioblastoma;5-ALA;mouse models;activity-based probes;cathepsin;oncology
57,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00601709%21RIV25-AV0-67985556,Motion Control Unit Design for Control Prototyping of Modern BLDC/PMSM Drives and Piezo Actuators,20205,"Belda, Květoslav;Píša, Pavel;Pressl, Štěpán","This paper deals with the design and construction of an open-software and open-hardware motion control unit intended for experimental development and rapid prototyping of advanced drive control for mechatronic systems and robotic applications such as smart production lines, manipulators, and robotic machine tools. The control unit is designed for high dynamic drives, both modern permanent magnet synchronous motors and piezoelectric drives and actuators promising for the near future. The concept and construction of the considered control unit are presented both from the hardware and software point of view. This includes custom printed circuit boards, electronic components for communication and power outputs, the microcontroller, firmware as well as software used to generate control application code. The presented experimental research and development is illustrated by figures and records of measured data.",BLDC/PMSM Drives;Motion Control;Power Supply;Mechatronic Systems;PysimCoder;Real-Time Generated Code;NuttX RTOS;Piezoelectric Bender Actuators;Rapid Prototyping
58,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00600589%21RIV25-AV0-67985556,Multi-criteria decision making beyond consistency: An alternative to AHP for real-world industrial problems,10201,"Carpitella, S.;Kratochvíl, Václav;Pištěk, Miroslav","The Analytic Hierarchy Process (AHP) is a widely used method for multi-criteria decision-making that relies on consistency in pairwise comparisons. However, decision-makers often struggle to provide fully consistent judgments in real-world scenarios. This article introduces a decision-making framework that operates independently of consistency. Utilizing the Skew-Symmetric Bilinear representation of preferences allows decision-makers to more accurately evaluate alternatives and criteria, making this framework more applicable in practical settings. The proposed method is validated through practical examples and an in-depth case study in the textile industry, effectively resolving a complex decision-making problem related to acquiring a data analytics tool for supplier selection. The results underscore the robustness and flexibility of this consistency-independent technique as an alternative to traditional AHP methods.",Decision-making theory;Decision support systems;Analytic hierarchy process;Intransitive preferences;Skew-symmetric bilinear representation
59,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00587009%21RIV25-AV0-67985556,Multi-Horizon Equity Returns Predictability via Machine Learning,50202,"Nechvátalová, Lenka","We investigate the predictability of global expected stock returns across various forecasting horizons using machine learning techniques. We find that the predictability of returns decreases with longer forecasting horizons both in the U.S. and internationally. Despite this, we provide evidence that using firm-specific characteristics can remain profitable even after accounting for transaction costs, especially when we consider longer forecasting horizons. Studying the profitability of long-short portfolios, we highlight a trade-off between higher transaction costs connected to frequent rebalancing and greater returns on shorter horizons. Increasing the forecasting horizon while matching the rebalancing period increases risk-adjusted returns after transaction costs for the U.S. We combine predictions of expected returns at multiple horizons using double-sorting and a turnover reducing strategy, buy/hold spread. Double sorting on different horizons significantly increases profitability in the U.S. market, while buy/hold spread portfolios exhibit better risk-adjusted profitability.",machine learning;asset pricing;horizon predictability;anomalies
60,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00586419%21RIV25-AV0-67985556,Tool for testing power efficiency of gear box the Fully Electric Vehicles,20205,"Šesták, V.;Herda, Z.;Plíhal, Jiří","The proposal deals with the technical solution of the on-board architecture to test and optimize the transmission of power in fully electric vehicles and to increase the efficiency of multi-stage transmissions. The design is solved within the framework of a unified concept of the driver-vehicle interface, where it is possible to optimize energy flows in fully electric vehicles based on the evaluation of inertial systems connected to the vehicle bus, knowledge of the vehicle's satellite position and knowledge of vehicle movement dynamics. The unit can be used in many industrial areas, especially in the development of on-board systems for the control of energy courses and visualization of the current state or prediction of recommended parameters of the human-machine interface.",gear box;vehicle unit;vehicle testing;efficiency
61,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00587648%21RIV25-AV0-67985556,No evidence of a “healthy vaccinee effect” in COVID-19 vaccination data from the Czech Republic,10103,"Šmíd, Martin;Tuček, V.;Maďar, R.;Tachezy, R.;Hel, Z.","With great concern, we read the manuscript “Does the healthy vaccinee bias rule them all?” by Furst et al. The existence of a potential bias in the characteristics of target populations in observational studies is routinely considered in studies addressing vaccine effectivity. However, the claims by Furst et al. are not substan-tiated by any valid statistical analysis and are based primarily on speculation. The authors rely on simple descriptive statistics and do not provide any valid statistical quantification of individual contributing factors or comorbidity analysis of target populations. Importantly, the study does not include any information on COVID-19 infections or COVID-19-related deaths in study cohorts. Without this critical information, the conclusions of the presented study are speculative and unsubstantiated.",COVID-19;vaccination data;SARS-CoV-2
62,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599345%21RIV25-AV0-67985556,Non-Fragile Sampled Control Design for an Interconnected Large-Scale System via Wirtinger Inequality,20205,"Lynnyk, Volodymyr;Rehák, Branislav","A control design for a linear large-scale interconnected system composed of identical subsystems is presented in this paper. The control signal of all subsystems is sampled. For different subsystems, the sampling times are not identical. Nonetheless, it is assumed that a bound exists for the maximal sampling time. The control algorithm is designed using theWirtinger inequality, and the non-fragile control law is proposed. The size of the linear matrix inequalities to be solved by the proposed control algorithm is independent of the number of subsystems composing the overall system. Hence, the algorithm is computationally effective. The results are illustrated by two examples. The first example graphically illustrates the function of the proposed algorithm while the second one compares with a method for stabilizing a large-scale system obtained earlier, thus illustrating the improved capabilities of the presented algorithm.",Large-scale system;Wirtinger inequality;Non-fragile control;Linear matrix inequality (LMI)
63,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00587662%21RIV25-AV0-67985556,Observables are proper models of measurements,10103,"Gaj, Aleksej;Guy, Tatiana Valentine;Kárný, Miroslav","A quantitative observation assigns numerical values to a phenomen on ????∈???? e.g. a system s property To ensure a proper observation process, any hidden feedback must be avoided. It means that the u ncertainty ????∈???? affect ing the assignment must not depend on the phenomen on itself. Since quantification implicitly involves compar isons e.g. ???? is smaller than ????””, ???? is more desired tha n ???? etc.etc.)), it assume s the existence of a transitive and complete ordering ≼ on ???? It can be shown, that i ts completeness is always attainable under uncertainty. The result [1] implies existence of a continuous, ordering preserving, quantitative observation iff the topology of open intervals in (≺,????) does not require more complexity than the natural order ing of real numbers . Hence , it is possible to distinguish a countable number of realizations of the quantitatively described phenomenon and a countable number of uncertainties that can be associated. Therefore , the observation mapping ????:(????,????)↦???? has a matrix structure ????=[????(????,????)], ????∈????,????∈???? To mitigate the influence of indices corresponding to phenomenon and uncertainty , the s ingular value decomposition (SVD) is applied ????=????????????∗ w it h ????∗ denoting transposition and conjugat ion of ????, [ Structurally, this implies that the uncertainty modelling unitary matrix ???? spans complex Hilbert s space. Subspaces of this space are projected onto quantitative observations in ????. These subspaces represent the relevant, distinguishable random events . Thus, the quantitative observation is to be handled as an observable [ 3]. Th e proposed work elaborates on and discusses this idea The twin work [4] addresses this viewpoint within the context of decision making. It demonstrates that a probabilistic model applied to subspaces model ling uncertainties is appropriate. The present study suggests that the findings of [4] are applicable to any quantitative observation (measurement).n[1]G. Debreu. Representation of a pr eference ordering by a numerical function. In R.M. Thrall,nC.H. Coombs, and R.L. Davis, editors, Decision Processes 159 65, Wiley, 1954.n[2 ] G.H. Golub and C.F. Van Loan. Matrix Computations . Johns Hopkins , Univ. Press, 2012.n[3] A. Dvurečenskij . Gleasons Theorem and Its Applications Mathematics and ItsnApplications , vol 60 Kluwer Academic Publishers, Dordrecht/Boston/London, 1993.n[4] A. Gaj and M. Kárný. Quantum like modelling of uncertainty in dynamic decision making. InnQuantum Information and Probability: from Foundations to Engineering (QIP24), 2024n",measurements;topology;numerical value
64,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00586292%21RIV25-AV0-67985556,Occupation Measure Relaxations in Variational Problems: The Role of Convexity,10101,"Henrion, D.;Korda, M.;Kružík, Martin;Rios-Zertuche, R.","This work addresses the occupation measure relaxation of calculus of variations problems, which is an infinite-dimensional linear programming reformulation amenable to numerical approximation by a hierarchy of semidefinite optimization problems. We address the problem of equivalence of this relaxation to the original problem. Our main result provides sufficient conditions for this equivalence. These conditions, revolving around the convexity of the data, are simple and apply in very general settings that may be of arbitrary dimensions and may include pointwise and integral constraints, thereby considerably strengthening the existing results. Our conditions are also extended to optimal control problems. In addition, we demonstrate how these results can be applied in nonconvex settings, showing that the occupation measure relaxation is at least as strong as the convexification using the convex envelope, in doing so, we prove that a certain weakening of the occupation measure relaxation is equivalent to the convex envelope. This opens the way to application of the occupation measure relaxation in situations where the convex envelope relaxation is known to be equivalent to the original problem, which includes problems in magnetism and elasticity.",optimization;calculus of variations;occupation measures;polynomial optimization;semidefinite programming
65,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00600834%21RIV25-AV0-67985556,On cardinalities of different degrees of Belief functions conjunctive conflictness,10102,"Daniel, Milan;Kratochvíl, Václav","This paper examines mutual conflict behavior between belief function structures across different discernment frame sizes ((Omega)). Through experiments on (Omega_2) to (Omega_6), we observe that as frame size increases, non-conflicting pairs and higher-order hidden conflicts become exceedingly relatively rare despite the exponential growth of cardinalities of their classes. The super-exponential growth of possible belief structures complicates exhaustive analysis, leading us to employ random sampling. Our findings reveal that the cardinality of a class of first-degree hidden conflicts (HC(_1)) grows faster than non-conflicts as frame size increases, highlighting the challenges and implications of applying belief function theory in complex decision-making scenarios.",belief function;conflict;degree of conflict
66,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00603742%21RIV25-AV0-67985556,On underactuated bipedal systems walking: Gait pattern modeling and analysis of a stepladder with decorator,20205,"Polach, P.;Prokýšek, R.;Papáček, Štěpán","This paper presents how to model one specific, well-known underactuated mechanical system, a stepladder with an operator inducing the motion, and how to analyze the stability of its corresponding gait pattern. Conversely to Compass gait and other common bipedal robotic systems, the leg order is preserved during walking, i.e., the swing leg never overcomes the stance leg. Let us underline three key features of this planar or 2D system, enabling the overall ordered cyclic displacement, e.g., from left to right, i.e., in the positive direction of x-axis in an inertial (Cartesian) system of coordinates.",Stepladder;Underactuated system;Cyclic walking;Hybrid dynamical system
67,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00586421%21RIV25-AV0-67985556,Perceptual dimensions of wood materials,20201,"Filip, Jiří;Lukavský, Jiří;Děchtěrenko, Filip;Schmidt, F.;Fleming, R. W.","Materials exhibit an extraordinary range of visual appearances. Characterizing and quantifying appearance is important not only for basic research on perceptual mechanisms but also for computer graphics and a wide range of industrial applications. Although methods exist for capturing and representing the optical properties of materials and how they vary across surfaces (Haindl & Filip, 2013), the representations are typically very high-dimensional, and how these representations relate to subjective perceptual impressions of material appearance remains poorly understood. Here, we used a data-driven approach to characterizing the perceived appearance characteristics of 30 samples of wood veneer using a „visual fingerprint“ that describes each sample as a multidimensional feature vector, with each dimension capturing a different aspect of the appearance. Fifty-six crowd-sourced participants viewed triplets of movies depicting different wood samples as the sample rotated. Their task was to report which of the two match samples was subjectively most similar to the test sample. In another online experiment, 45 participants rated 10 wood-related appearance characteristics for each of the samples. The results reveal a consistent embedding of the samples across both experiments and a set of nine perceptual dimensions capturing aspects including the roughness, directionality, and spatial scale of the surface patterns. We also showed that a weighted linear combination of 11 image statistics, inspired by the rating characteristics, predicts perceptual dimensions well.",texture;surface;categorization;dimension;color;similarity;wood;material;perception;rating
68,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599184%21RIV25-AV0-67985556,Persistence in financial connectedness and systemic risk,50202,"Baruník, Jozef;Ellington, M.","This paper characterizes dynamic linkages arising from shocks with heterogeneous degrees of persistence. Using frequency domain techniques, we introduce measures that identify smoothly varying links of a transitory and persistent nature. Our approach allows us to test for statistical differences in such dynamic links. We document substantial differences in transitory and persistent linkages among US financial industry volatilities, argue that they track heterogeneously persistent sources of systemic risk, and thus may serve as a useful tool for market participants.",Finance;Network connections;Variance decompositions;Persistence;Spectral domain
69,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00597852%21RIV25-AV0-67985556,PM2.5 levels over Europe during the first COVID19 lockdowns were controlled by NH3,10103,"Evangeliou, N.;Tichý, Ondřej;Otervik, M. S.;Eckhardt, S.;Balkanski, Y.;Hauglustaine, D.","Ammonia (NH3) has played a vital role in the evolution of human population. Today it is recognized to have negative influence, not only for the environment, but also for human population and the climate.",ammonia;restrictions;aerosol formation;sulfate;nitrate
70,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00604532%21RIV25-AV0-67985556,Policy Learning via Fully Probabilistic Design,10201,"Fakhimi Derakhshan, Siavash;Guy, Tatiana Valentine","Applying formalism of fully probabilistic design, we propose a new general data driven approach for finding a stochastic policy from demonstrations. The approach infers a policy directly from data without interaction with the expert or using any reinforcement signal. The expert’s actions generally need not to be optimal. The proposed approach learns an optimal policy by minimising Kullback-Liebler divergence between probabilistic description of the actual agent-environment behaviour and the distribution describing the targeted behaviour of the optimised closed loop. We demonstrate our approach on simulated examples and show that the learned policy: i) converges to the optimised policy obtained by FPD. ii) achieves better performance than the optimal FPD policy whenever a mismodelling is present.",Fully probabilistic design;imitation learning;Kullback-Liebler divergence;learning from demonstration;optimal policy.
71,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00597828%21RIV25-AV0-67985556,"Post-vaccination, post-infection and hybrid immunity against severe cases of COVID-19 and long COVID after infection with SARS-CoV-2 Omicron subvariants, Czechia, December 2021 to August 2023",10102,"Šmíd, Martin;Barusová, T.;Jarkovský, J.;Májek, O.;Pavlík, T.;Přibylová, L.;Weinerová, J.;Zajíček, Milan;Trnka, J.","Protective effects of immunity against COVID-19 have been shown to diminish over time at varying speed depending on the source of immunity (infection, vaccination or a combination of both), viral variant, age and other factors. Using national-level data from Czechia, we here wanted to assess the protection afforded by vaccines and/or previous infection against severe COVID requiring oxygen support or long COVID up to 16 August 2023.nProtection provided by the original vaccination series wanes fast but can be prolonged through the administration of booster doses, especially with the updated bivalent mRNA vaccines. Immunity after infection or hybrid immunity (from infection and vaccination) provided significantly better protection, waning more slowly over time. The protective effect of vaccines on the development of long COVID in the infected population was small.nVaccination against COVID-19 remains an effective strategy to prevent a severe course of this illness but recent booster doses are required for a significant protection. Since hybrid immunity provides the strongest protection against severe cases, vaccination can be recommended even to individuals who have recovered from the disease. The protective effect of vaccination against long COVID, once infected, appears small.",COVID-19;immunity;time-dependent waning
72,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00600509%21RIV25-AV0-67985556,Predicting the volatility of major energy commodity prices: the dynamic persistence model,50202,"Baruník, Jozef;Vácha, Lukáš","Time variation and persistence are crucial properties of volatility that are often studied separately in energy volatility forecasting models. Here, we propose a novel approach that allows shocks with heterogeneous persistence to vary smoothly over time, and thus model the two together. We argue that this is important because such dynamics arise naturally from the dynamic nature of shocks in energy commodities. We identify such dynamics from the data using localised regressions and build a model that significantly improves volatility forecasts. Such forecasting models, based on a rich persistence structure that varies smoothly over time, outperform state-of-the-art benchmark models and are particularly useful for forecasting over longer horizons.",persistence heterogeneity;wold decomposition;local stationarity;time-varying parameters
73,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00600831%21RIV25-AV0-67985556,Proceedings of the 24th Czech-Japan Seminar on Data Analysis and Decision Making,10201,"Kratochvíl, Václav;Masahiro, I.;Čepek, O.;Kusunoki, Y.","We were delighted to welcome 26 participants, who, as the name of the seminar suggests, came from both the CzechnRepublic and Japan. All four days of the seminar were filled with engaging events and provided ample space for informal discussions on open topics related to mathematical decision-making and its associated theories.",data analysis;decision making
74,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00597783%21RIV25-AV0-67985556,Psychophysical Insights into Anisotropic Highlights of 3D Printed Objects,20205,"Filip, Jiří;Vítek, Martin","3D printing has been extensively used for over two decades by various practitioners and professionals in the industry. Thisntechnique, which involves adding material from melted filament layer by layer based on CAD model geometry, imparts anunique appearance to the printed objects. The layering structure generates specific directional reflectance patterns on printednsurfaces, leading to anisotropic highlights. Due to slight inaccuracies in the printing setup, the appearance of individual layersnis not seamless and exhibits sparkle-like effects along the highlight. In this paper, we conducted a psychophysical experiment tonanalyze human perception of the printed objects, focusing on the intensity and width of the anisotropic highlights. We discoverednthat the contrast near the highlights and the variability of pixel intensities along the highlights are highly correlated with humannratings. Lastly, we present a straightforward method utilizing these computational features to enhance the visualization of 3Dnprinted objects.",Computer graphics;Graphics systems and interfaces - Perception;Image manipulation - Texturing
75,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599186%21RIV25-AV0-67985556,Risks of heterogeneously persistent higher moments,50202,"Baruník, Jozef;Kurka, Josef","Using intraday data for the cross-section of individual stocks, we show that both transitory and persistent fluctuations in realized market and average idiosyncratic volatility, skewness and kurtosis are differentially priced in the cross-section of asset returns, implying a heterogeneous persistence structure of different sources of higher moment risks. In particular, we find that both idiosyncratic transitory shocks to volatility and idiosyncratic persistent shocks to skewness share strong commonalities that are relevant to investors.",Higher moments;Transitory;Persistent;Cross-section of returns
76,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00602519%21RIV25-AV0-67985556,Self referred equations with an integral boundary condition,10101,"Chiriatti, G.;Fasiello, M.;Grande, Raffaele;Pascali, E.","In this note, we study three differential problems with a dynamic, which are be represented by a self referred equation and a boundary condition, which are expressed as an integral constraint. We prove that under certain assumptions, there exists at least one solution of for all of these problems by using Schauder’s fixed point theorem. In the end, we propose briefly some open problems.",Ordinary differential equations;evolution equations;hereditary phenomena
77,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00597935%21RIV25-AV0-67985556,Spatio-temporal requirements of Aurora kinase A in mouse oocyte meiotic spindle building,10201,"Blengini, C. S.;Vaškovičová, Michaela;Schier, Jan;Drutovič, Dávid;Schindler, K.","Meiotic spindles are critical to ensure chromosome segregation during gamete formation. Oocytes lack centrosomes and use alternative microtubule-nucleation mechanisms for spindle building. How these mechanisms are regulated is still unknown. Aurora kinase A (AURKA) is essential for mouse oocyte meiosis because in pro-metaphase I it triggers microtubule organizing-center fragmentation and its expression compensates for the loss of the two other Aurora kinases (AURKB/AURKC). Although knockout mouse models were useful for foundational studies, AURK spatial and temporal functions are not yet resolved. We provide high-resolution analyses of AURKA/AURKC requirements during meiotic spindle-building and identify the subcellular populations that carry out these functions: 1) AURKA is required in early spindle assembly and later for spindle stability, whereas 2) AURKC is required in late pro-metaphase, and 3) Targeted AURKA constructs expressed in triple AURK knockout oocytes reveal that spindle pole-localized AURKA is the most important population controlling spindle building and stability mechanisms.",Aurora kinase A;mouse oocyte;meiotic spindles
78,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599641%21RIV25-AV0-67985556,Stochastic hyperplane-based ranks and their use in multivariate portmanteau tests,10103,"Hudecová, Š.;Šiman, Miroslav","The article proposes and justifies an optimal rank-based portmanteau test of multivariate elliptical strict white noise against multivariate serial dependence. It is based on new stochastic hyperplane-based ranks that are simpler and easier to compute than other usable hyperplane-based competitors and still share with them many good properties such as their distribution-free nature, affine invariance, efficiency, robustness and weak moment assumptions. The finite-sample performance of the portmanteau test is illustrated empirically in a small Monte Carlo simulation study.",hyperplane;interdirection;lift-interdirection;multivariate rank;portmanteau test;robustness;signed-rank test
79,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00583920%21RIV24-AV0-67985556,Survival Modeling of  Disease Consequences and Post-disease Syndromes,20205,"Haindl, Michal","We present a survival model for human maladies, which leave victims with permanent health damages requiring life-long medical observation and treatment. The model allows national health authorities to prepare sufficient medical specialists with adequate capacity in specialized clinics, vaccinations, spas, or rehabilitation facilities. We test the model on Czech Polio (Poliomyelitis Anterior Acuta) victims' data. COVID-19 or Long Covid-19 and the treatment of their wide range of ongoing health problems, where these conditions can last weeks, months, or years, can benefit from Polio and COVID-19 RNA virus similarities.",survival model;permanent disease consequence;Poliomyelitis anterior acuta;post-disease syndromes
80,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599690%21RIV25-AV0-67985556,Synchronization of Generalized Lorenz Systems in a Loop,20205,"Rehák, Branislav;Čelikovský, Sergej;Lynnyk, Volodymyr;Lynnyk, Anna","The conditions for the synchronization of three interconnected generalized Lorenz systems are given. The interconnection topology contains a loop. It is shown that, under certain conditions on the strength of the coupling of the systems, the full synchronization of all three systems is guaranteed. The results are illustrated by an example.",Generalized Lorenz system;Synchronization;Cyclic network
81,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00600118%21RIV25-AV0-67985556,Synchronization of Multi-Agent Systems Composed of Second-Order Underactuated Agents,20205,"Rehák, Branislav;Lynnyk, Anna;Lynnyk, Volodymyr","The consensus problem of a multi-agent system with nonlinear second-order underactuated agents is addressed. The essence of the approach can be outlined as follows: the output is redesigned first so that the agents attain the minimum-phase property. The second step is to apply the exact feedback linearization to the agents. This transformation divides their dynamics into a linear observable part and a non-observable part. It is shown that consensus of the linearizable parts of the agents implies consensus of the entire multi-agent system. To achieve the consensus of the original system, the inverse transformation of the exact feedback linearization is applied. However, its application causes changes in the dynamics of the multi-agent system. a way to mitigate this effect is proposed. Two examples are presented to illustrate the efficiency of the proposed synchronization algorithm. These examples demonstrate that the synchronization error decreases faster when the proposed method is applied. This holds not only for the states constituting the linearizable dynamics but also for the hidden internal dynamics.",Nonlinear multi-agent systems;Underactuated systems;Robust control
82,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00598049%21RIV25-AV0-67985556,Tensor Train Approximation of Multivariate Functions,20201,"Tichavský, Petr;Straka, O.","The tensor train is a popular model for approximating high-dimensional rectangular data structures that cannot fit in any computer memory due to their size. The tensor train can approximate complex functions with many variables in the continuous domain. The traditional method for obtaining the tensor train model is based on a skeleton decomposition, which is better known for matrices. The skeleton (cross) decomposition has the property that the tensor approximation is accurate on certain tensor fibers but may be poor on other fibers. In this paper, we propose a technique for fitting a tensor train to an arbitrary number of tensor fibers, allowing flexible modeling of multivariate functions that contain noise. Two examples are studied: a noisy Rosenbrock function and a noisy quadratic function, both of order 20.n",tensor train;multivariate function;function interpolation
83,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00602333%21RIV25-AV0-67985556,Testing Axial Symmetry by Means of Directional Quantile Regression Coefficients,10103,"Šiman, Miroslav","Testing axial symmetry given the axial direction has recently attracted considerable attention not only because of its direct practical applications, but also because of its wide implications for testing exchangeability, independence, goodness-of-fit or equality of scale. The contribution extends the family of recently developed tests of axial symmetry with new members that are based on coefficient estimates in directional quantile regression. The proposed testing tools are especially suitable for the situations not covered well by available competitors, i.e., in the linear regression context or when regression rank scores are not available. The performance of the new tests in such settings is illustrated with a few representative simulation experiments.",axial symmetry;quantile regression;testing symmetry
84,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00584124%21RIV25-AV0-67985556,Texture recognition under scale and illumination variations,20205,"Vácha, Pavel;Haindl, Michal","Visual scene recognition is predominantly based on visual textures representing an object's material properties. However, the single material texture varies in scale and illumination angles due to mapping an object's shape. We present a comparative study of the color histogram, Gabor, opponent Gabor, Local Binary Pattern (LBP), and wide-sense Markovian textural features concerning their sensitivity to simultaneous scale and illumination variations. Due to their application dominance, these textural features are selected from more than 50 published textural features.nMarkovian features are information preserving, and we demonstrate their superior performance for scale and illumination variable observation conditions over the standard alternative textural features. We bound the scale variation by double size, and illumination variation includes illumination spectra, acquisition devices, and 35 illumination directions spanned above a sample hemisphere. Recognition accuracy is tested on textile patterns from the University of East Anglia and wood veneers from UTIA BTF databases.",Markovian Textural features;LBP;Gabor features;scale sensitivity;illumination sensitivity
